Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Volusia County Schools, Florida",NDA,VOLUSIA COUNTY SCHOOLS,FLORIDA,,,,
"Lee County Public Schools, Florida",NDA,LEE COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Providence School District, Rhode Island",NDA,PROVIDENCE SCHOOL DISTRICT,RHODE ISLAND,,,,
"City of Taunton, Massachusetts",NDA,CITY OF TAUNTON,MASSACHUSETTS,,,,
"Northside Independent School District, Texas",NDA,NORTHSIDE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Aspire Public Schools, California",NDA,ASPIRE PUBLIC SCHOOLS,CALIFORNIA,,,,
"Mifflin County School District, Pennsylvania",NDA,MIFFLIN COUNTY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Lower Dauphin School District, Pennsylvania",NDA,LOWER DAUPHIN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Pocono Mountain School District, Pennsylvania",NDA,POCONO MOUNTAIN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Ft. Worth ISD, Texas",NDA,FT. WORTH ISD,TEXAS,,,,
"Salinas Union High School District, California",NDA,SALINAS UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"City of Quincy, Massachusetts",NDA,CITY OF QUINCY,MASSACHUSETTS,,,,
"Quincy Public Schools, Massachusetts",NDA,QUINCY PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"UT Southwestern Medical Center, Texas",NDA,UT SOUTHWESTERN MEDICAL CENTER,TEXAS,,,,
"West Contra Costa Unified School District, California",NDA,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Department of the Navy - GSA, District of Columbia",NDA,DEPARTMENT OF THE NAVY - GSA,DISTRICT OF COLUMBIA,,,,
"Schaumburg Community Consolidated School District No. 54, Illinois",NDA,SCHAUMBURG COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 54,ILLINOIS,,,,
"Belvidere Community Unit School District No. 100, Illinois",NDA,BELVIDERE COMMUNITY UNIT SCHOOL DISTRICT NO. 100,ILLINOIS,,,,
"Osseo Independent School District No. 279, Minnesota",NDA,OSSEO INDEPENDENT SCHOOL DISTRICT NO. 279,MINNESOTA,,,,
"Monroe Public Schools, Washington",NDA,MONROE PUBLIC SCHOOLS,WASHINGTON,,,,
"Warren County School District, Pennsylvania",NDA,WARREN COUNTY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Alhambra Elementary School District, Arizona",NDA,ALHAMBRA ELEMENTARY SCHOOL DISTRICT,ARIZONA,,,,
"Putnam County School District, Florida",NDA,PUTNAM COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"Missoula County Public Schools, Montana",NDA,MISSOULA COUNTY PUBLIC SCHOOLS,MONTANA,,,,
"Richmond County School System, Georgia",NDA,RICHMOND COUNTY SCHOOL SYSTEM,GEORGIA,,,,
"Hillsborough City School District, California",NDA,HILLSBOROUGH CITY SCHOOL DISTRICT,CALIFORNIA,,,,
"Clayton County Public Schools, Georgia",NDA,CLAYTON COUNTY PUBLIC SCHOOLS,GEORGIA,,,,
"County of Los Angeles, California",NDA,COUNTY OF LOS ANGELES,CALIFORNIA,,,,
"Norman Public Schools, Oklahoma",NDA,NORMAN PUBLIC SCHOOLS,OKLAHOMA,,,,
"Nebo School District, Utah",NDA,NEBO SCHOOL DISTRICT,UTAH,,,,
"Seneca Highlands Intermediate Unit 9, Pennsylvania",NDA,SENECA HIGHLANDS INTERMEDIATE UNIT 9,PENNSYLVANIA,,,,
"Portland State University, Oregon",NDA,PORTLAND STATE UNIVERSITY,OREGON,,,,
"Butler Technology Career Development Schools, Ohio",NDA,BUTLER TECHNOLOGY CAREER DEVELOPMENT SCHOOLS,OHIO,,,,
"Suwannee County Schools, Florida",NDA,SUWANNEE COUNTY SCHOOLS,FLORIDA,,,,
"Keller Independent School District, Texas",NDA,KELLER INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Minnesota Department of Health, Minnesota",NDA,MINNESOTA DEPARTMENT OF HEALTH,MINNESOTA,,,,
"Tucson Unified School District, Arizona",NDA,TUCSON UNIFIED SCHOOL DISTRICT,ARIZONA,,,,
"Perris Union High School District, California",NDA,PERRIS UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Virginia Polytechnic Institute And State University, Virginia",NDA,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,VIRGINIA,,,,
"Big Lake Independent School District No. 727, Minnesota",NDA,BIG LAKE INDEPENDENT SCHOOL DISTRICT NO. 727,MINNESOTA,,,,
"Texas Tech University, Texas",NDA,TEXAS TECH UNIVERSITY,TEXAS,,,,
"UCI Medical Center, California",NDA,UCI MEDICAL CENTER,CALIFORNIA,,,,
"Ouachita Parish School System, Louisiana",NDA,OUACHITA PARISH SCHOOL SYSTEM,LOUISIANA,,,,
"Parish of Ouachita, Louisiana",NDA,PARISH OF OUACHITA,LOUISIANA,,,,
"Northwest Tri-County Intermediate Unit 5, Pennsylvania",NDA,NORTHWEST TRI-COUNTY INTERMEDIATE UNIT 5,PENNSYLVANIA,,,,
"North Hills School District, Pennsylvania",NDA,NORTH HILLS SCHOOL DISTRICT,PENNSYLVANIA,,,,
"School District of Grand Forks, North Dakota",NDA,SCHOOL DISTRICT OF GRAND FORKS,NORTH DAKOTA,,,,
"City of Pawtucket, Rhode Island",NDA,CITY OF PAWTUCKET,RHODE ISLAND,,,,
"Redwood City School District, California",NDA,REDWOOD CITY SCHOOL DISTRICT,CALIFORNIA,,,,
"Virginia Beach Public Schools, Virginia",NDA,VIRGINIA BEACH PUBLIC SCHOOLS,VIRGINIA,,,,
"Lyon County School District, Nevada",NDA,LYON COUNTY SCHOOL DISTRICT,NEVADA,,,,
"Philadelphia School District, Pennsylvania",NDA,PHILADELPHIA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Volusia County Public Transit System, Florida",NDA,VOLUSIA COUNTY PUBLIC TRANSIT SYSTEM,FLORIDA,,,,
"Ysleta Independent School District, Texas",NDA,YSLETA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Eastern York School District, Pennsylvania",NDA,EASTERN YORK SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Minnesota Department of Administration, Minnesota",NDA,MINNESOTA DEPARTMENT OF ADMINISTRATION,MINNESOTA,,,,
"Austin Public Schools, Minnesota",NDA,AUSTIN PUBLIC SCHOOLS,MINNESOTA,,,,
"San Bernardino City Unified School District, California",NDA,SAN BERNARDINO CITY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Department of Veterans Affairs - GSA, District of Columbia",NDA,DEPARTMENT OF VETERANS AFFAIRS - GSA,DISTRICT OF COLUMBIA,,,,
"Folsom Cordova Unified School District, California",NDA,FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Sheldon Independent School District, Texas",NDA,SHELDON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Peoria Unified School District, Arizona",NDA,PEORIA UNIFIED SCHOOL DISTRICT,ARIZONA,,,,
"Central Susquehanna Intermediate Unit 16, Pennsylvania",NDA,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT 16,PENNSYLVANIA,,,,
"Department of the Air Force - GSA, District of Columbia",NDA,DEPARTMENT OF THE AIR FORCE - GSA,DISTRICT OF COLUMBIA,,,,
"Mason City School District, Ohio",NDA,MASON CITY SCHOOL DISTRICT,OHIO,,,,
"Newport News Public Schools, Virginia",NDA,NEWPORT NEWS PUBLIC SCHOOLS,VIRGINIA,,,,
"Laguna Beach Unified School District, California",NDA,LAGUNA BEACH UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Department of the Army - GSA, District of Columbia",NDA,DEPARTMENT OF THE ARMY - GSA,DISTRICT OF COLUMBIA,,,,
"Upland Unified School District, California",NDA,UPLAND UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Southeast Polk Community School District, Iowa",NDA,SOUTHEAST POLK COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Madison Local School District (Mansfield), Ohio",NDA,MADISON LOCAL SCHOOL DISTRICT (MANSFIELD),OHIO,,,,
"Brazosport Independent School District, Texas",NDA,BRAZOSPORT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Cucamonga School District, California",NDA,CUCAMONGA SCHOOL DISTRICT,CALIFORNIA,,,,
"North East Independent School District, Texas",NDA,NORTH EAST INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Dickinson Independent School District, Texas",NDA,DICKINSON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Fontana Unified School District, California",NDA,FONTANA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Kansas City Kansas Public Schools USD 500, Kansas",NDA,KANSAS CITY KANSAS PUBLIC SCHOOLS USD 500,KANSAS,,,,
"Washoe County School District, Nevada",NDA,WASHOE COUNTY SCHOOL DISTRICT,NEVADA,,,,
"Val Verde Unified School District, California",NDA,VAL VERDE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Montclair State University, New Jersey",NDA,MONTCLAIR STATE UNIVERSITY,NEW JERSEY,,,,
"New York City School District #12, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #12,NEW YORK,,,,
"George Washington Middle School, Texas",NDA,GEORGE WASHINGTON MIDDLE SCHOOL,TEXAS,,,,
"Jackson Health System, Florida",NDA,JACKSON HEALTH SYSTEM,FLORIDA,,,,
"Shaler Area School District, Pennsylvania",NDA,SHALER AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Gallup-McKinley County Schools, New Mexico",NDA,GALLUP-MCKINLEY COUNTY SCHOOLS,NEW MEXICO,,,,
"Los Rios Community College District, California",NDA,LOS RIOS COMMUNITY COLLEGE DISTRICT,CALIFORNIA,,,,
"Cincinnati City School District, Ohio",NDA,CINCINNATI CITY SCHOOL DISTRICT,OHIO,,,,
"Gadsden Independent School District, New Mexico",NDA,GADSDEN INDEPENDENT SCHOOL DISTRICT,NEW MEXICO,,,,
"Northgate School District, Pennsylvania",NDA,NORTHGATE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Twin Falls School District, Idaho",NDA,TWIN FALLS SCHOOL DISTRICT,IDAHO,,,,
"City of Woburn, Massachusetts",NDA,CITY OF WOBURN,MASSACHUSETTS,,,,
"University of Michigan at Ann Arbor, Michigan",NDA,UNIVERSITY OF MICHIGAN AT ANN ARBOR,MICHIGAN,,,,
"Fairfax County Schools, Virginia",NDA,FAIRFAX COUNTY SCHOOLS,VIRGINIA,,,,
"St. Tammany Parish Public Schools, Louisiana",NDA,ST. TAMMANY PARISH PUBLIC SCHOOLS,LOUISIANA,,,,
"Northern Virginia Community College, Virginia",NDA,NORTHERN VIRGINIA COMMUNITY COLLEGE,VIRGINIA,,,,
"Seminole County Public Schools, Florida",NDA,SEMINOLE COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Fayette County Public Schools, Kentucky",NDA,FAYETTE COUNTY PUBLIC SCHOOLS,KENTUCKY,,,,
"Lincoln Public School District, Nebraska",NDA,LINCOLN PUBLIC SCHOOL DISTRICT,NEBRASKA,,,,
"Los Fresnos Consolidated Independent School District, Texas",NDA,LOS FRESNOS CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Granite School District, Utah",NDA,GRANITE SCHOOL DISTRICT,UTAH,,,,
"Woodland School District No. 50, Illinois",NDA,WOODLAND SCHOOL DISTRICT NO. 50,ILLINOIS,,,,
"Town of Burlington, Massachusetts",NDA,TOWN OF BURLINGTON,MASSACHUSETTS,,,,
"City of Elk Grove, California",NDA,CITY OF ELK GROVE,CALIFORNIA,,,,
"Coronado Middle School, California",NDA,CORONADO MIDDLE SCHOOL,CALIFORNIA,,,,
"Antioch Community Consolidated School District No. 34, Illinois",NDA,ANTIOCH COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 34,ILLINOIS,,,,
