Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Educational Service District 171 - North Central, Washington",NDA,EDUCATIONAL SERVICE DISTRICT 171 - NORTH CENTRAL,WASHINGTON,,,,
"North St. Paul-Maplewood-Oakdale School District No. 622, Minnesota",NDA,NORTH ST. PAUL-MAPLEWOOD-OAKDALE SCHOOL DISTRICT NO. 622,MINNESOTA,,,,
"Royse City Independent School District, Texas",NDA,ROYSE CITY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Central Consolidated School District #22, New Mexico",NDA,CENTRAL CONSOLIDATED SCHOOL DISTRICT #22,NEW MEXICO,,,,
"Alexandria Community School Corporation, Indiana",NDA,ALEXANDRIA COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"City of St. Charles School District, Missouri",NDA,CITY OF ST. CHARLES SCHOOL DISTRICT,MISSOURI,,,,
"University of Florida, Florida",NDA,UNIVERSITY OF FLORIDA,FLORIDA,,,,
"McAllen Independent School District (ISD), Texas",NDA,MCALLEN INDEPENDENT SCHOOL DISTRICT (ISD),TEXAS,,,,
"Nordonia Hills City School District, Ohio",NDA,NORDONIA HILLS CITY SCHOOL DISTRICT,OHIO,,,,
"Ricardo Molina Middle School, Texas",NDA,RICARDO MOLINA MIDDLE SCHOOL,TEXAS,,,,
"Washington School Information Processing Cooperative (WSIPC), Washington",NDA,WASHINGTON SCHOOL INFORMATION PROCESSING COOPERATIVE (WSIPC),WASHINGTON,,,,
"New York City School District #31, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #31,NEW YORK,,,,
"Marshall Independent School District, Texas",NDA,MARSHALL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"North Rockland Central School District, New York",NDA,NORTH ROCKLAND CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Ritenour School District, Missouri",NDA,RITENOUR SCHOOL DISTRICT,MISSOURI,,,,
"Laurel County Public Schools, Kentucky",NDA,LAUREL COUNTY PUBLIC SCHOOLS,KENTUCKY,,,,
"Bethlehem Center School District, Pennsylvania",NDA,BETHLEHEM CENTER SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Clinton Community School District, Iowa",NDA,CLINTON COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Ligonier Valley School District, Pennsylvania",NDA,LIGONIER VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Wentzville R-IV School District, Missouri",NDA,WENTZVILLE R-IV SCHOOL DISTRICT,MISSOURI,,,,
"Montrose Community School, Michigan",NDA,MONTROSE COMMUNITY SCHOOL,MICHIGAN,,,,
"Dakota State University, South Dakota",NDA,DAKOTA STATE UNIVERSITY,SOUTH DAKOTA,,,,
"Douglas County School District, Nevada",NDA,DOUGLAS COUNTY SCHOOL DISTRICT,NEVADA,,,,
"Scarsdale Public Schools, New York",NDA,SCARSDALE PUBLIC SCHOOLS,NEW YORK,,,,
"Fountain-Fort Carson School District 8, Colorado",NDA,FOUNTAIN-FORT CARSON SCHOOL DISTRICT 8,COLORADO,,,,
"Council Rock School District, Pennsylvania",NDA,COUNCIL ROCK SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Bentonville School District No. 6, Arkansas",NDA,BENTONVILLE SCHOOL DISTRICT NO. 6,ARKANSAS,,,,
"Lake Stevens Sr High School, Washington",NDA,LAKE STEVENS SR HIGH SCHOOL,WASHINGTON,,,,
"American River College, California",NDA,AMERICAN RIVER COLLEGE,CALIFORNIA,,,,
"County of San Bernardino, California",NDA,COUNTY OF SAN BERNARDINO,CALIFORNIA,,,,
"General Services Administration: Federal Acquisition Service, District of Columbia",NDA,GENERAL SERVICES ADMINISTRATION: FEDERAL ACQUISITION SERVICE,DISTRICT OF COLUMBIA,,,,
"Allegheny Intermediate Unit 3, Pennsylvania",NDA,ALLEGHENY INTERMEDIATE UNIT 3,PENNSYLVANIA,,,,
"City of Boston, Massachusetts",NDA,CITY OF BOSTON,MASSACHUSETTS,,,,
"School of Science and Technology Charter Schools, Texas",NDA,SCHOOL OF SCIENCE AND TECHNOLOGY CHARTER SCHOOLS,TEXAS,,,,
"Hillsdale Local School District, Ohio",NDA,HILLSDALE LOCAL SCHOOL DISTRICT,OHIO,,,,
"Canton City School District, Ohio",NDA,CANTON CITY SCHOOL DISTRICT,OHIO,,,,
"Boston Public Schools, Massachusetts",NDA,BOSTON PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Randolph Public Schools, Massachusetts",NDA,RANDOLPH PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Town of Randolph, Massachusetts",NDA,TOWN OF RANDOLPH,MASSACHUSETTS,,,,
"Oakland Unified School District, California",NDA,OAKLAND UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Andover Public Schools, Kansas",NDA,ANDOVER PUBLIC SCHOOLS,KANSAS,,,,
"University of Maryland at College Park, Maryland",NDA,UNIVERSITY OF MARYLAND AT COLLEGE PARK,MARYLAND,,,,
"Los Alamos Public School District, New Mexico",NDA,LOS ALAMOS PUBLIC SCHOOL DISTRICT,NEW MEXICO,,,,
"Chesterfield County, Virginia",NDA,CHESTERFIELD COUNTY,VIRGINIA,,,,
"Lowell Public Schools, Massachusetts",NDA,LOWELL PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"University of Texas at Tyler, Texas",NDA,UNIVERSITY OF TEXAS AT TYLER,TEXAS,,,,
"Sweetwater Union High School District, California",NDA,SWEETWATER UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Ephrata Area School District, Pennsylvania",NDA,EPHRATA AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Fabens Independent School District, Texas",NDA,FABENS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Lenoir County Schools, North Carolina",NDA,LENOIR COUNTY SCHOOLS,NORTH CAROLINA,,,,
"South Eastern School District, Pennsylvania",NDA,SOUTH EASTERN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Kasson-Mantorville Schools District No. 204, Minnesota",NDA,KASSON-MANTORVILLE SCHOOLS DISTRICT NO. 204,MINNESOTA,,,,
"Donna Independent School District, Texas",NDA,DONNA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Radford University, Virginia",NDA,RADFORD UNIVERSITY,VIRGINIA,,,,
"Clarke County School District, Virginia",NDA,CLARKE COUNTY SCHOOL DISTRICT,VIRGINIA,,,,
"Quincy High School, Washington",NDA,QUINCY HIGH SCHOOL,WASHINGTON,,,,
"Ringgold School District, Pennsylvania",NDA,RINGGOLD SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Hudson Public Schools, Massachusetts",NDA,HUDSON PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Pembroke Public Schools, Massachusetts",NDA,PEMBROKE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Malden Public Schools, Massachusetts",NDA,MALDEN PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Eddyville-Blakesburg School District, Iowa",NDA,EDDYVILLE-BLAKESBURG SCHOOL DISTRICT,IOWA,,,,
"Centennial School District, Pennsylvania",NDA,CENTENNIAL SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Foothill College, California",NDA,FOOTHILL COLLEGE,CALIFORNIA,,,,
"Northwest R-I School District, Missouri",NDA,NORTHWEST R-I SCHOOL DISTRICT,MISSOURI,,,,
"Penncrest School District, Pennsylvania",NDA,PENNCREST SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Ayer Shirley Regional School District, Massachusetts",NDA,AYER SHIRLEY REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Moses Lake School District #161, Washington",NDA,MOSES LAKE SCHOOL DISTRICT #161,WASHINGTON,,,,
"San Bernardino Community College District, California",NDA,SAN BERNARDINO COMMUNITY COLLEGE DISTRICT,CALIFORNIA,,,,
"Panama-Buena Vista Union School District, California",NDA,PANAMA-BUENA VISTA UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"East Peoria School District No. 86, Illinois",NDA,EAST PEORIA SCHOOL DISTRICT NO. 86,ILLINOIS,,,,
"Department of Defense: Office of the Secretary of Defense - GSA, District of Columbia",NDA,DEPARTMENT OF DEFENSE: OFFICE OF THE SECRETARY OF DEFENSE - GSA,DISTRICT OF COLUMBIA,,,,
"Thompson Junior High School, California",NDA,THOMPSON JUNIOR HIGH SCHOOL,CALIFORNIA,,,,
"Aspire Centennial College Preparatory Academy, California",NDA,ASPIRE CENTENNIAL COLLEGE PREPARATORY ACADEMY,CALIFORNIA,,,,
"Worthington City School District, Ohio",NDA,WORTHINGTON CITY SCHOOL DISTRICT,OHIO,,,,
"Moss Point School District, Mississippi",NDA,MOSS POINT SCHOOL DISTRICT,MISSISSIPPI,,,,
"Riverside Community College Dist, California",NDA,RIVERSIDE COMMUNITY COLLEGE DIST,CALIFORNIA,,,,
"Appalachia Intermediate Unit 8, Pennsylvania",NDA,APPALACHIA INTERMEDIATE UNIT 8,PENNSYLVANIA,,,,
"Hoboken City School District, New Jersey",NDA,HOBOKEN CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"University of California Santa Cruz, California",NDA,UNIVERSITY OF CALIFORNIA SANTA CRUZ,CALIFORNIA,,,,
"Pioneer Middle School Wenatchee, Washington",NDA,PIONEER MIDDLE SCHOOL WENATCHEE,WASHINGTON,,,,
"Georgia Regents University(Augusta University), Georgia",NDA,GEORGIA REGENTS UNIVERSITY(AUGUSTA UNIVERSITY),GEORGIA,,,,
"Augusta University, Georgia",NDA,AUGUSTA UNIVERSITY,GEORGIA,,,,
"Department of Education, Virginia",NDA,DEPARTMENT OF EDUCATION,VIRGINIA,,,,
"James Madison Middle School, California",NDA,JAMES MADISON MIDDLE SCHOOL,CALIFORNIA,,,,
"Pajaro Valley Unified School District, California",NDA,PAJARO VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Foothills Middle School Wenatchee, Washington",NDA,FOOTHILLS MIDDLE SCHOOL WENATCHEE,WASHINGTON,,,,
"John McCandless STEM Charter School, California",NDA,JOHN MCCANDLESS STEM CHARTER SCHOOL,CALIFORNIA,,,,
"Osceola County School District, Florida",NDA,OSCEOLA COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"University of North Carolina-Charlotte, North Carolina",NDA,UNIVERSITY OF NORTH CAROLINA-CHARLOTTE,NORTH CAROLINA,,,,
"Department of the Interior - GSA, District of Columbia",NDA,DEPARTMENT OF THE INTERIOR - GSA,DISTRICT OF COLUMBIA,,,,
"Danville Public Schools, Virginia",NDA,DANVILLE PUBLIC SCHOOLS,VIRGINIA,,,,
"Santee School District, California",NDA,SANTEE SCHOOL DISTRICT,CALIFORNIA,,,,
"South San Antonio Independent School District, Texas",NDA,SOUTH SAN ANTONIO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Rockdale County Board Of Education, Georgia",NDA,ROCKDALE COUNTY BOARD OF EDUCATION,GEORGIA,,,,
"Rockdale County Public Schools, Georgia",NDA,ROCKDALE COUNTY PUBLIC SCHOOLS,GEORGIA,,,,
"Redmond School District, Oregon",NDA,REDMOND SCHOOL DISTRICT,OREGON,,,,
"Topeka Public Schools USD 501, Kansas",NDA,TOPEKA PUBLIC SCHOOLS USD 501,KANSAS,,,,
"Old Donation School, Virginia",NDA,OLD DONATION SCHOOL,VIRGINIA,,,,
"Mt. Vernon School District No. 320, Washington",NDA,MT. VERNON SCHOOL DISTRICT NO. 320,WASHINGTON,,,,
"Penn Hills School District, Pennsylvania",NDA,PENN HILLS SCHOOL DISTRICT,PENNSYLVANIA,,,,
"City of Fall River, Massachusetts",NDA,CITY OF FALL RIVER,MASSACHUSETTS,,,,
"Murrieta Valley Unified School District, California",NDA,MURRIETA VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Ellwood Area School District, Pennsylvania",NDA,ELLWOOD AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Lenoir City Schools, Tennessee",NDA,LENOIR CITY SCHOOLS,TENNESSEE,,,,
"Arkansas Tech University, Arkansas",NDA,ARKANSAS TECH UNIVERSITY,ARKANSAS,,,,
"Jennings School District, Missouri",NDA,JENNINGS SCHOOL DISTRICT,MISSOURI,,,,
"University of California-San Francisco, California",NDA,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,CALIFORNIA,,,,
"Oklahoma City Public Schools, Oklahoma",NDA,OKLAHOMA CITY PUBLIC SCHOOLS,OKLAHOMA,,,,
"Trautmann Middle School, Texas",NDA,TRAUTMANN MIDDLE SCHOOL,TEXAS,,,,
"Hillsborough County Public School Board, Florida",NDA,HILLSBOROUGH COUNTY PUBLIC SCHOOL BOARD,FLORIDA,,,,
"Beaumont Unified School District, California",NDA,BEAUMONT UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"New York City School District #25, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #25,NEW YORK,,,,
"Kennesaw State University, Georgia",NDA,KENNESAW STATE UNIVERSITY,GEORGIA,,,,
"Lansing School District, Michigan",NDA,LANSING SCHOOL DISTRICT,MICHIGAN,,,,
"Foster-Glocester Regional Schools, Rhode Island",NDA,FOSTER-GLOCESTER REGIONAL SCHOOLS,RHODE ISLAND,,,,
"Marquette-Alger Regional Educational Service Agency, Michigan",NDA,MARQUETTE-ALGER REGIONAL EDUCATIONAL SERVICE AGENCY,MICHIGAN,,,,
"Ohio University, Ohio",NDA,OHIO UNIVERSITY,OHIO,,,,
"East Stroudsburg Area School District, Pennsylvania",NDA,EAST STROUDSBURG AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Southwestern Central School District, New York",NDA,SOUTHWESTERN CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Northern Michigan University, Michigan",NDA,NORTHERN MICHIGAN UNIVERSITY,MICHIGAN,,,,
"Wayne County Schools, Kentucky",NDA,WAYNE COUNTY SCHOOLS,KENTUCKY,,,,
"Broken Bow Public Schools, Oklahoma",NDA,BROKEN BOW PUBLIC SCHOOLS,OKLAHOMA,,,,
"Laredo Independent School District, Texas",NDA,LAREDO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Fitchburg Public Schools, Massachusetts",NDA,FITCHBURG PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Quabbin Regional School District, Massachusetts",NDA,QUABBIN REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Henderson County Public Schools, North Carolina",NDA,HENDERSON COUNTY PUBLIC SCHOOLS,NORTH CAROLINA,,,,
"Ohio State University Wexner Medical Center, Ohio",NDA,OHIO STATE UNIVERSITY WEXNER MEDICAL CENTER,OHIO,,,,
"Clark County School District, Nevada",NDA,CLARK COUNTY SCHOOL DISTRICT,NEVADA,,,,
"West Aurora School District No. 129, Illinois",NDA,WEST AURORA SCHOOL DISTRICT NO. 129,ILLINOIS,,,,
"Morongo Unified School District, California",NDA,MORONGO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Apollo-Ridge School District, Pennsylvania",NDA,APOLLO-RIDGE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Cambridge-Isanti Public Schools - ISD No. 911, Minnesota",NDA,CAMBRIDGE-ISANTI PUBLIC SCHOOLS - ISD NO. 911,MINNESOTA,,,,
"Lubbock Independent School District, Texas",NDA,LUBBOCK INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Pueblo City School District, Colorado",NDA,PUEBLO CITY SCHOOL DISTRICT,COLORADO,,,,
"Department of Energy - GSA, District of Columbia",NDA,DEPARTMENT OF ENERGY - GSA,DISTRICT OF COLUMBIA,,,,
"Central Union High School District, Imperial County, California",NDA,CENTRAL UNION HIGH SCHOOL DISTRICT,"IMPERIAL COUNTY, CALIFORNIA",,,,
"Lyons Township High School District No. 204, Illinois",NDA,LYONS TOWNSHIP HIGH SCHOOL DISTRICT NO. 204,ILLINOIS,,,,
"North Kansas City School District, Missouri",NDA,NORTH KANSAS CITY SCHOOL DISTRICT,MISSOURI,,,,
"San Dieguito Union High School District, California",NDA,SAN DIEGUITO UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Town of Arlington, Massachusetts",NDA,TOWN OF ARLINGTON,MASSACHUSETTS,,,,
"South Bend Community School Corporation, Indiana",NDA,SOUTH BEND COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Henry County Schools, Georgia",NDA,HENRY COUNTY SCHOOLS,GEORGIA,,,,
"Shenandoah Valley School District, Pennsylvania",NDA,SHENANDOAH VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Aledo Independent School District, Texas",NDA,ALEDO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Howell Township Public Schools, New Jersey",NDA,HOWELL TOWNSHIP PUBLIC SCHOOLS,NEW JERSEY,,,,
"Austin Community College District, Texas",NDA,AUSTIN COMMUNITY COLLEGE DISTRICT,TEXAS,,,,
"Linden City School District, New Jersey",NDA,LINDEN CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"Racine School District, Wisconsin",NDA,RACINE SCHOOL DISTRICT,WISCONSIN,,,,
"Halifax Medical Center, Florida",NDA,HALIFAX MEDICAL CENTER,FLORIDA,,,,
"Oak Grove School District, California",NDA,OAK GROVE SCHOOL DISTRICT,CALIFORNIA,,,,
"Marshall Public School District No. 413, Minnesota",NDA,MARSHALL PUBLIC SCHOOL DISTRICT NO. 413,MINNESOTA,,,,
"University of Washington, Washington",NDA,UNIVERSITY OF WASHINGTON,WASHINGTON,,,,
"Cherokee County School District, Georgia",NDA,CHEROKEE COUNTY SCHOOL DISTRICT,GEORGIA,,,,
"City of Lynn, Massachusetts",NDA,CITY OF LYNN,MASSACHUSETTS,,,,
"Hartland-Lakeside School District, Wisconsin",NDA,HARTLAND-LAKESIDE SCHOOL DISTRICT,WISCONSIN,,,,
"Woodward-Granger Community School District, Iowa",NDA,WOODWARD-GRANGER COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Princeton City School District, Ohio",NDA,PRINCETON CITY SCHOOL DISTRICT,OHIO,,,,
"Belle Plaine Community School District, Iowa",NDA,BELLE PLAINE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Muhlenberg School District, Pennsylvania",NDA,MUHLENBERG SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Central Virginia Community College, Virginia",NDA,CENTRAL VIRGINIA COMMUNITY COLLEGE,VIRGINIA,,,,
"Pickerington Local School District, Ohio",NDA,PICKERINGTON LOCAL SCHOOL DISTRICT,OHIO,,,,
"Greenfield Union School District, Monterey County, California",NDA,GREENFIELD UNION SCHOOL DISTRICT,"MONTEREY COUNTY, CALIFORNIA",,,,
"Kenston Local School District, Ohio",NDA,KENSTON LOCAL SCHOOL DISTRICT,OHIO,,,,
"Van Buren School District No. 42, Arkansas",NDA,VAN BUREN SCHOOL DISTRICT NO. 42,ARKANSAS,,,,
"City of Kingsport, Tennessee",NDA,CITY OF KINGSPORT,TENNESSEE,,,,
"Grain Valley R-V School District, Missouri",NDA,GRAIN VALLEY R-V SCHOOL DISTRICT,MISSOURI,,,,
"Fort Valley State University, Georgia",NDA,FORT VALLEY STATE UNIVERSITY,GEORGIA,,,,
"Liberty County School System, Georgia",NDA,LIBERTY COUNTY SCHOOL SYSTEM,GEORGIA,,,,
"Stevens Point Area School District, Wisconsin",NDA,STEVENS POINT AREA SCHOOL DISTRICT,WISCONSIN,,,,
"Paul Revere Middle School, Texas",NDA,PAUL REVERE MIDDLE SCHOOL,TEXAS,,,,
"St. Lawrence-Lewis BOCES, New York",NDA,ST. LAWRENCE-LEWIS BOCES,NEW YORK,,,,
"Volusia County, Florida",NDA,VOLUSIA COUNTY,FLORIDA,,,,
"Nauset Public Schools, Massachusetts",NDA,NAUSET PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Town of Belchertown, Massachusetts",NDA,TOWN OF BELCHERTOWN,MASSACHUSETTS,,,,
"Lewis Central Community Schools, Iowa",NDA,LEWIS CENTRAL COMMUNITY SCHOOLS,IOWA,,,,
"New Ulm Public School District No. 88, Minnesota",NDA,NEW ULM PUBLIC SCHOOL DISTRICT NO. 88,MINNESOTA,,,,
"Granite Bay High School, California",NDA,GRANITE BAY HIGH SCHOOL,CALIFORNIA,,,,
"Etiwanda School District, California",NDA,ETIWANDA SCHOOL DISTRICT,CALIFORNIA,,,,
"Middletown Public Schools, Rhode Island",NDA,MIDDLETOWN PUBLIC SCHOOLS,RHODE ISLAND,,,,
"Department of Justice - GSA, District of Columbia",NDA,DEPARTMENT OF JUSTICE - GSA,DISTRICT OF COLUMBIA,,,,
"Mountain View School District, San Bernardino County, California",NDA,MOUNTAIN VIEW SCHOOL DISTRICT,"SAN BERNARDINO COUNTY, CALIFORNIA",,,,
"Florida Atlantic University, Florida",NDA,FLORIDA ATLANTIC UNIVERSITY,FLORIDA,,,,
"Buffalo Public Schools, New York",NDA,BUFFALO PUBLIC SCHOOLS,NEW YORK,,,,
"Roxana Community Unit School District No. 1, Illinois",NDA,ROXANA COMMUNITY UNIT SCHOOL DISTRICT NO. 1,ILLINOIS,,,,
"Old Dominion University, Virginia",NDA,OLD DOMINION UNIVERSITY,VIRGINIA,,,,
"Louisville City School District, Ohio",NDA,LOUISVILLE CITY SCHOOL DISTRICT,OHIO,,,,
"Berwick Area School District, Pennsylvania",NDA,BERWICK AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Rutland City Public Schools, Vermont",NDA,RUTLAND CITY PUBLIC SCHOOLS,VERMONT,,,,
"Clemson University, South Carolina",NDA,CLEMSON UNIVERSITY,SOUTH CAROLINA,,,,
"Premont Independent School District, Texas",NDA,PREMONT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Schuylkill Technology Center, Pennsylvania",NDA,SCHUYLKILL TECHNOLOGY CENTER,PENNSYLVANIA,,,,
"Huntington Public Schools, New York",NDA,HUNTINGTON PUBLIC SCHOOLS,NEW YORK,,,,
"Hutchinson Public Schools USD 308, Kansas",NDA,HUTCHINSON PUBLIC SCHOOLS USD 308,KANSAS,,,,
"Talawanda City School District, Ohio",NDA,TALAWANDA CITY SCHOOL DISTRICT,OHIO,,,,
"South Dakota Board of Regents, South Dakota",NDA,SOUTH DAKOTA BOARD OF REGENTS,SOUTH DAKOTA,,,,
"Elizabeth Forward School District, Pennsylvania",NDA,ELIZABETH FORWARD SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Seekonk Public Schools, Massachusetts",NDA,SEEKONK PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Town of Seekonk, Massachusetts",NDA,TOWN OF SEEKONK,MASSACHUSETTS,,,,
"Bellefonte Area School District, Pennsylvania",NDA,BELLEFONTE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Central Greene School District, Pennsylvania",NDA,CENTRAL GREENE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Central Valley School District, New York",NDA,CENTRAL VALLEY SCHOOL DISTRICT,NEW YORK,,,,
"Limestone Community High School District No. 310, Illinois",NDA,LIMESTONE COMMUNITY HIGH SCHOOL DISTRICT NO. 310,ILLINOIS,,,,
"Punxsutawney Area School District, Pennsylvania",NDA,PUNXSUTAWNEY AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Uniontown Area School District, Pennsylvania",NDA,UNIONTOWN AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Bloom Township High School District #206, Illinois",NDA,BLOOM TOWNSHIP HIGH SCHOOL DISTRICT #206,ILLINOIS,,,,
"Crown Preparatory Academy, California",NDA,CROWN PREPARATORY ACADEMY,CALIFORNIA,,,,
"Camanche Community School District, Iowa",NDA,CAMANCHE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Northwest Local School District (Cincinnati), Ohio",NDA,NORTHWEST LOCAL SCHOOL DISTRICT (CINCINNATI),OHIO,,,,
"Collier County Public Schools, Florida",NDA,COLLIER COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Boonville R-I School District, Missouri",NDA,BOONVILLE R-I SCHOOL DISTRICT,MISSOURI,,,,
"Albany State University, Georgia",NDA,ALBANY STATE UNIVERSITY,GEORGIA,,,,
"Walton County School District, Florida",NDA,WALTON COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"Stamford Public Schools, Connecticut",NDA,STAMFORD PUBLIC SCHOOLS,CONNECTICUT,,,,
"Pearland Independent School District, Texas",NDA,PEARLAND INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Livermore Valley Joint Unified School District, California",NDA,LIVERMORE VALLEY JOINT UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Reynolds School District, Oregon",NDA,REYNOLDS SCHOOL DISTRICT,OREGON,,,,
"Turner USD #202, Kansas",NDA,TURNER USD #202,KANSAS,,,,
"Genesee Intermediate School District, Michigan",NDA,GENESEE INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Mather High School, Illinois",NDA,MATHER HIGH SCHOOL,ILLINOIS,,,,
"Jamestown Public Schools, North Dakota",NDA,JAMESTOWN PUBLIC SCHOOLS,NORTH DAKOTA,,,,
"El Camino Hospital, California",NDA,EL CAMINO HOSPITAL,CALIFORNIA,,,,
"Lancaster City School District, Ohio",NDA,LANCASTER CITY SCHOOL DISTRICT,OHIO,,,,
"Skokie-Morton Grove School District No. 69, Illinois",NDA,SKOKIE-MORTON GROVE SCHOOL DISTRICT NO. 69,ILLINOIS,,,,
"Hartford Union High School District, Wisconsin",NDA,HARTFORD UNION HIGH SCHOOL DISTRICT,WISCONSIN,,,,
"Broome-Tioga BOCES, New York",NDA,BROOME-TIOGA BOCES,NEW YORK,,,,
"Belchertown Public Schools, Massachusetts",NDA,BELCHERTOWN PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Montoursville Area School District, Pennsylvania",NDA,MONTOURSVILLE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Olathe Public Schools USD 233, Kansas",NDA,OLATHE PUBLIC SCHOOLS USD 233,KANSAS,,,,
"St. Landry Parish School Board, Louisiana",NDA,ST. LANDRY PARISH SCHOOL BOARD,LOUISIANA,,,,
"St. James Parish Schools, Louisiana",NDA,ST. JAMES PARISH SCHOOLS,LOUISIANA,,,,
"Clarke County, Virginia",NDA,CLARKE COUNTY,VIRGINIA,,,,
"Texas A&M University, Texas",NDA,TEXAS A&M UNIVERSITY,TEXAS,,,,
"Union County College, New Jersey",NDA,UNION COUNTY COLLEGE,NEW JERSEY,,,,
"South Baton Rouge Charter Academy, Louisiana",NDA,SOUTH BATON ROUGE CHARTER ACADEMY,LOUISIANA,,,,
"Davis County Community School District, Iowa",NDA,DAVIS COUNTY COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Sioux City Community School District, Iowa",NDA,SIOUX CITY COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Fayette Local School District, Ohio",NDA,FAYETTE LOCAL SCHOOL DISTRICT,OHIO,,,,
"New York City Department of Education, New York",NDA,NEW YORK CITY DEPARTMENT OF EDUCATION,NEW YORK,,,,
"Fairview South School District #72, Illinois",NDA,FAIRVIEW SOUTH SCHOOL DISTRICT #72,ILLINOIS,,,,
"Galion City School District, Ohio",NDA,GALION CITY SCHOOL DISTRICT,OHIO,,,,
"Singing River Health System, Mississippi",NDA,SINGING RIVER HEALTH SYSTEM,MISSISSIPPI,,,,
"St. Paul Public School District No. 625, Minnesota",NDA,ST. PAUL PUBLIC SCHOOL DISTRICT NO. 625,MINNESOTA,,,,
"Mt. Vernon Community School Corporation, Indiana",NDA,MT. VERNON COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Cypress Fairbanks ISD, Texas",NDA,CYPRESS FAIRBANKS ISD,TEXAS,,,,
