Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"West Windsor-Plainsboro Regional School District, New Jersey",NDA,WEST WINDSOR-PLAINSBORO REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3417700,321 Village Rd East,West Windsor,http://www.ww-p.org/
"Watauga County Schools, North Carolina",NDA,WATAUGA COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3704830,175 Pioneer Trail,Boone,http://www.wataugaschools.org
"West De Pere School District, Wisconsin",NDA,WEST DE PERE SCHOOL DISTRICT,WISCONSIN,NCES_District-5516320,400 Reid St Ste W,De Pere,http://www.wdpsd.com
"Washougal School District, Washington",NDA,WASHOUGAL SCHOOL DISTRICT,WASHINGTON,NCES_District-5309540,4855 Evergreen Way,WASHOUGAL,http://www.washougal.k12.wa.us
"Roanoke City Public Schools, Virginia",NDA,ROANOKE CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5103300,P O Box 13145,Roanoke,http://www.rcps.info
"Mayfield Central School District, New York",NDA,MAYFIELD CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3618750,27 SCHOOL ST,MAYFIELD,http://www.mayfieldk12.com
"Schuylerville Central School District, New York",NDA,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3626160,14 SPRING ST,SCHUYLERVILLE,http://www.schuylervilleschools.org
"Marcellus Central School District, New York",NDA,MARCELLUS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3618480,2 REED PKWY,MARCELLUS,http://www.marcellusschools.org
"Reedsburg School District, Wisconsin",NDA,REEDSBURG SCHOOL DISTRICT,WISCONSIN,NCES_District-5512660,501 K St,Reedsburg,http://www.rsd.k12.wi.us
"Clarence Central School District, New York",NDA,CLARENCE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607590,9625 MAIN ST,CLARENCE,http://www.clarenceschools.org
"Horseheads Central School District, New York",NDA,HORSEHEADS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614850,143 HIBBARD RD,HORSEHEADS,http://www.horseheadsdistrict.com
"Seaford Union Free School District, New York",NDA,SEAFORD UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3626400,1600 WASHINGTON AVE,SEAFORD,http://www.seaford.k12.ny.us
"Hartford School District, Vermont",NDA,HARTFORD SCHOOL DISTRICT,VERMONT,NCES_District-5004590,1 Gifford Road,White River Junction,http://hsdvt.com/
"Greece Central School District, New York",NDA,GREECE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3612630,750 MAIDEN LN,ROCHESTER,http://www.greececsd.org
"Mount Morris Central School District, New York",NDA,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3620010,30 BONADONNA AVE,MOUNT MORRIS,http://www.mtmorriscsd.org
"Bellingham School District, Washington",NDA,BELLINGHAM SCHOOL DISTRICT,WASHINGTON,NCES_District-5300420,1306 DUPONT ST,BELLINGHAM,http://bellinghamschools.org
"Jackson County Schools, West Virginia",NDA,JACKSON COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400540,P O BOX 770,RIPLEY,
"Clearbrook-Gonvick School District, Minnesota",NDA,CLEARBROOK-GONVICK SCHOOL DISTRICT,MINNESOTA,NCES_District-2700103,16770 CLEARWATER LAKE RD,CLEARBROOK,http://www.clearbrook-gonvick.k12.mn.us/
"Ridgefield School District, Washington",NDA,RIDGEFIELD SCHOOL DISTRICT,WASHINGTON,NCES_District-5307350,510 PIONEER STREET,RIDGEFIELD,http://www.ridgefieldsd.org
"Manassas City Public Schools, Virginia",NDA,MANASSAS CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102360,P.O. Box 520,Manassas,http://www.mcpsva.org
"Mukilteo School District, Washington",NDA,MUKILTEO SCHOOL DISTRICT,WASHINGTON,NCES_District-5305430,9401 SHARON DR,EVERETT,http://www.mukilteoschools.org
"Berks Career and Technology Center, Pennsylvania",NDA,BERKS CAREER AND TECHNOLOGY CENTER,PENNSYLVANIA,NCES_District-4280060,1057 County Welfare Road,Leesport,http://www.berkscareer.com
"Pender County Schools, North Carolina",NDA,PENDER COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3703570,925 Penderlea Hwy,Burgaw,http://www.pendercountyschools.net
"Duplin County Schools, North Carolina",NDA,DUPLIN COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3701200,PO Box 128,Kenansville,http://www.duplinschools.net
"East Central ISD, Texas",NDA,EAST CENTRAL ISD,TEXAS,NCES_District-4817850,6634 NEW SULPHUR SPRINGS RD,SAN ANTONIO,http://www.ecisd.net
"Port Washington Union Free School District, New York",NDA,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3623580,100 CAMPUS DR,PORT WASHINGTON,http://www.portnet.org
"Lower Yukon School District, Alaska",NDA,LOWER YUKON SCHOOL DISTRICT,ALASKA,NCES_District-0200003,PO Box 32089,Mountain Village,http://www.lysd.org/
"Union City School District, New Jersey",NDA,UNION CITY SCHOOL DISTRICT,NEW JERSEY,NCES_District-3416380,3912 Bergen Turnpike,Union City,http://www.ucboe.us
"Avoca Central School District, New York",NDA,AVOCA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3603630,PO BOX G,AVOCA,http://www.avocacsd.org
"Richfield Springs Central School District, New York",NDA,RICHFIELD SPRINGS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3624570,PO BOX 631,RICHFIELD SPRINGS,http://www.richfieldcsd.org
"Manton Consolidated Schools, Michigan",NDA,MANTON CONSOLIDATED SCHOOLS,MICHIGAN,NCES_District-2622500,105 5TH ST,MANTON,http://www.mantonschools.org
"Goshen Central School District, New York",NDA,GOSHEN CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3612330,227 MAIN ST,GOSHEN,http://www.goshenschoolsny.org
"Stoughton Area School District, Wisconsin",NDA,STOUGHTON AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514550,320 North St,Stoughton,http://www.stoughton.k12.wi.us
"Albion Central School District, New York",NDA,ALBION CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602520,324 EAST AVE,ALBION,http://www.albionk12.org
"Queensbury Union Free School District, New York",NDA,QUEENSBURY UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3624030,429 AVIATION RD,QUEENSBURY,http://www.queensburyschool.org
"Fraser Public Schools, Michigan",NDA,FRASER PUBLIC SCHOOLS,MICHIGAN,NCES_District-2614820,33466 GARFIELD RD,FRASER,http://www.fraser.k12.mi.us/fps
"Central Islip Union Free School District, New York",NDA,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3606870,PO BOX 9027,CENTRAL ISLIP,http://www.centralislip.k12.ny.us
"Louisville Public Schools, Nebraska",NDA,LOUISVILLE PUBLIC SCHOOLS,NEBRASKA,NCES_District-3173050,202 W 3RD,LOUISVILLE,
"Duanesburg Central School District, New York",NDA,DUANESBURG CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3609360,133 SCHOOL DR,DELANSON,http://www.duanesburg.org
"East Islip Union Free School District, New York",NDA,EAST ISLIP UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3609720,1 C B GARIEPY AVE,ISLIP TERRACE,http://www.eischools.org
"Franklin Public Schools, Nebraska",NDA,FRANKLIN PUBLIC SCHOOLS,NEBRASKA,NCES_District-3100065,1001 M ST,FRANKLIN,
"Whitefish Bay School District, Wisconsin",NDA,WHITEFISH BAY SCHOOL DISTRICT,WISCONSIN,NCES_District-5516620,1200 E Fairmount Ave,Whitefish Bay,http://www.wfbschools.com
"Soap Lake School District, Washington",NDA,SOAP LAKE SCHOOL DISTRICT,WASHINGTON,NCES_District-5308070,410 GINKGO ST S,SOAP LAKE,http://www.slschools.org
"Union County Public Schools, North Carolina",NDA,UNION COUNTY PUBLIC SCHOOLS,NORTH CAROLINA,NCES_District-3704620,307 E. Jefferson Street,Monroe,http://www.ucps.k12.nc.us
"Robinson ISD, Texas",NDA,ROBINSON ISD,TEXAS,NCES_District-4837410,500 W LYNDALE,ROBINSON,http://www.risdweb.org
"Redfield School District 56-4, South Dakota",NDA,REDFIELD SCHOOL DISTRICT 56-4,SOUTH DAKOTA,NCES_District-4660450,PO Box 560,Redfield,http://www.redfield.k12.sd.us
"Hilton Central School District, New York",NDA,HILTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614460,225 WEST AVE,HILTON,http://www.hilton.k12.ny.us
"Chapel Hill-Carrboro City Schools, North Carolina",NDA,CHAPEL HILL-CARRBORO CITY SCHOOLS,NORTH CAROLINA,NCES_District-3700720,750 S Merritt Mill Rd,Chapel Hill,http://www.chccs.k12.nc.us/
"Calhoun County Schools, West Virginia",NDA,CALHOUN COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400210,540 ALAN B MOLLOHAN DRIVE,MT. ZION,
"South Orangetown Central School District, New York",NDA,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3627450,160 VAN WYCK RD,BLAUVELT,http://www.socsd.org
"Sherman ISD, Texas",NDA,SHERMAN ISD,TEXAS,NCES_District-4840080,P O BOX 1176,SHERMAN,http://www.shermanisd.net/
"Chenango Forks Central School District, New York",NDA,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607260,1 GORDON DR,BINGHAMTON,http://www.cforks.org
"Morris Hills Regional School District, New Jersey",NDA,MORRIS HILLS REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3410740,48 Knoll Drive,Denville,http://www.mhrd.org
"San Angelo ISD, Texas",NDA,SAN ANGELO ISD,TEXAS,NCES_District-4838700,1621 UNIVERSITY AVE,SAN ANGELO,http://www.saisd.org/
"Bay-Arenac ISD, Michigan",NDA,BAY-ARENAC ISD,MICHIGAN,NCES_District-2680504,4228 2 MILE RD,BAY CITY,http://www.baisd.net
"Herricks Union Free School District, New York",NDA,HERRICKS UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3614280,999 HERRICKS RD,NEW HYDE PARK,http://www.herricks.org
"Elkhorn Valley Schools, Nebraska",NDA,ELKHORN VALLEY SCHOOLS,NEBRASKA,NCES_District-3100025,601 S MADISON STREET,TILDEN,
"White Salmon Valley School District, Washington",NDA,WHITE SALMON VALLEY SCHOOL DISTRICT,WASHINGTON,NCES_District-5309810,PO BOX 157,WHITE SALMON,
"Forestville Central School District, New York",NDA,FORESTVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611250,12 WATER ST,FORESTVILLE,http://www.forestville.com
"Marlboro Central School District, New York",NDA,MARLBORO CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3618570,21 MILTON TPKE-STE 100,MILTON,http://www.marlboroschools.org
"Ellensburg School District, Washington",NDA,ELLENSBURG SCHOOL DISTRICT,WASHINGTON,NCES_District-5302460,1300 E 3RD AVE,ELLENSBURG,http://esd401.org
"Sampson County Schools, North Carolina",NDA,SAMPSON COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3704140,437 Rowan Rd,Clinton,http://www.sampson.k12.nc.us/
"Wenatchee School District, Washington",NDA,WENATCHEE SCHOOL DISTRICT,WASHINGTON,NCES_District-5309660,235 Sunset Ave,WENATCHEE,http://wenatcheeschools.org
"Alameda County Office of Education, California",NDA,ALAMEDA COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691051,313 West Winton Ave.,Hayward,http://www.acoe.org
"Addison Central School District, New York",NDA,ADDISON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602370,7 CLEVELAND DR-STE 101,ADDISON,http://www.addisoncsd.org
"Wabasha-Kellogg School District, Minnesota",NDA,WABASHA-KELLOGG SCHOOL DISTRICT,MINNESOTA,NCES_District-2741060,2113 HIAWATHA DR E,WABASHA,http://www.wabasha-kellogg.k12.mn.us/
"Pembroke Central School District, New York",NDA,PEMBROKE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3608340,PO BOX 308,CORFU,http://www.pembrokecsd.org
"Necedah Area School District, Wisconsin",NDA,NECEDAH AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5510230,1801 S Main St,Necedah,http://www.necedahschools.org
"Florida Union Free School District, New York",NDA,FLORIDA UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3625320,PO DRAWER 757,FLORIDA,http://www.floridaufsd.org
"Everman ISD, Texas",NDA,EVERMAN ISD,TEXAS,NCES_District-4818810,1520 E EVERMAN PKWY,FORT WORTH,http://www.eisd.org
"Littlefield ISD, Texas",NDA,LITTLEFIELD ISD,TEXAS,NCES_District-4827750,1207 E 14TH ST,LITTLEFIELD,http://www.lfdisd.org
"Edgewood ISD, Texas",NDA,EDGEWOOD ISD,TEXAS,NCES_District-4818120,804 E PINE ST,EDGEWOOD,http://www.edgewood-isd.net
"Edgewood ISD, Texas",NDA,EDGEWOOD ISD,TEXAS,NCES_District-4818150,5358 W COMMERCE ST,SAN ANTONIO,http://www.eisd.net
"Cherry Valley-Springfield Central School District, New York",NDA,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3600006,PO BOX 485,CHERRY VALLEY,http://www.cvscs.org
"Lebanon School District, New Hampshire",NDA,LEBANON SCHOOL DISTRICT,NEW HAMPSHIRE,NCES_District-3304230,Seminary Hill School,West Lebanon,
"Fillmore Central School District, New York",NDA,FILLMORE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611070,PO BOX 177,FILLMORE,http://www.fillmorecsd.org
"Fluvanna County Public Schools, Virginia",NDA,FLUVANNA COUNTY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5101380,14455 James Madison Highway,Palmyra,http://www.fluco.org
"Baraboo School District, Wisconsin",NDA,BARABOO SCHOOL DISTRICT,WISCONSIN,NCES_District-5500810,423 Linn St,Baraboo,http://www.baraboo.k12.wi.us
"Orchard Park Central School District, New York",NDA,ORCHARD PARK CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3621900,2240 SOUTHWESTERN BLVD,WEST SENECA,http://www.opschools.org
"Kettle Moraine School District, Wisconsin",NDA,KETTLE MORAINE SCHOOL DISTRICT,WISCONSIN,NCES_District-5503510,563 A J Allen Cir,Wales,http://www.kmsd.edu
"Monona Grove School District, Wisconsin",NDA,MONONA GROVE SCHOOL DISTRICT,WISCONSIN,NCES_District-5509810,5301 Monona Dr,Monona,http://www.mononagrove.org
"Greenville Central School District, New York",NDA,GREENVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3612870,PO BOX 129,GREENVILLE,http://www.greenvillecsd.org
"Liberty County, Georgia",NDA,LIBERTY COUNTY,GEORGIA,NCES_District-1303300,110 S. Gause St.,Hinesville,
"Ossining Union Free School District, New York",NDA,OSSINING UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3622020,400 EXECUTIVE BLVD,OSSINING,http://www.ossiningufsd.org
"Sidney Central School District, New York",NDA,SIDNEY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3626850,95 W MAIN ST,SIDNEY,http://www.sidneycsd.org
"Susquehanna Valley Central School District, New York",NDA,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3628380,PO BOX 200,CONKLIN,http://www.svsabers.org
"Kaukauna Area School District, Wisconsin",NDA,KAUKAUNA AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5507290,District Office,Kaukauna,http://www.kaukauna.k12.wi.us
"Marysville Public Schools, Michigan",NDA,MARYSVILLE PUBLIC SCHOOLS,MICHIGAN,NCES_District-2623040,495 East Huron Blvd,MARYSVILLE,http://www.marysvilleschools.us
"Rockaway Township School District, New Jersey",NDA,ROCKAWAY TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3414130,16 School Road,Hibernia,http://www.rocktwp.net
"Ulster BOCES, New York",NDA,ULSTER BOCES,NEW YORK,NCES_District-3680920,175 RTE 32 N,NEW PALTZ,http://www.ulsterboces.org
"Montgomery County Public Schools, Virginia",NDA,MONTGOMERY COUNTY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102520,750 Imperial St.,Christiansburg,http://www.mcps.org
"Henry Hudson Regional School District, New Jersey",NDA,HENRY HUDSON REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3407050,1 Grand Tour,Highlands,http://www.henryhudsonreg.k12.nj.us
"Estes Park School District R-3, Colorado",NDA,ESTES PARK SCHOOL DISTRICT R-3,COLORADO,NCES_District-0803810,1605 BRODIE AVENUE,ESTES PARK,http://www.estesschools.org
"Syosset Central School District, New York",NDA,SYOSSET CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3628560,PO BOX 9029,SYOSSET,http://syossetschools.org
"Wabeno Area School District, Wisconsin",NDA,WABENO AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5515390,Wabeno Elementary School,Wabeno,http://www.wabeno.k12.wi.us
"Westminster Public Schools, Colorado",NDA,WESTMINSTER PUBLIC SCHOOLS,COLORADO,NCES_District-0807230,6933 RALEIGH STREET,WESTMINSTER,http://www.westminsterpublicschools.org/
"Wood County Schools, West Virginia",NDA,WOOD COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5401620,1210 13TH STREET,PARKERSBURG,
"Schalmont Central School District, New York",NDA,SCHALMONT CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3625980,4 SABRE DR,SCHENECTADY,http://www.schalmont.org
"Portland Public Schools, Maine",NDA,PORTLAND PUBLIC SCHOOLS,MAINE,NCES_District-2309930,353 Cumberland Ave,Portland,http://www.portlandschools.org/
"Hastings-on-Hudson Union Free School District, New York",NDA,HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3613950,27 FARRAGUT AVE,HASTINGS ON HUDSON,http://www.hohschools.org
"Little Chute Area School District, Wisconsin",NDA,LITTLE CHUTE AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5508160,1402 Freedom Rd,Little Chute,http://www.littlechute.k12.wi.us
"Gananda Central School District, New York",NDA,GANANDA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611740,1500 DAYSPRING RDG,WALWORTH,http://www.gananda.org
"Merton Community School District, Wisconsin",NDA,MERTON COMMUNITY SCHOOL DISTRICT,WISCONSIN,NCES_District-5509360,PO Box 15,Merton,http://www.merton.k12.wi.us
"Harnett County Schools, North Carolina",NDA,HARNETT COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3702010,PO Box 1029,Lillington,http://www.harnett.k12.nc.us/
"Randolph Field ISD, Texas",NDA,RANDOLPH FIELD ISD,TEXAS,NCES_District-4836450,P O BOX 2217,UNIVERSAL CITY,http://www.rfisd.net
"Afton Central School District, New York",NDA,AFTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602400,PO BOX 5,AFTON,http://www.aftoncsd.org
"Reed City Area Public Schools, Michigan",NDA,REED CITY AREA PUBLIC SCHOOLS,MICHIGAN,NCES_District-2629490,225 WEST CHURCH AVE STE A,REED CITY,
"Washington State University, Washington",NDA,WASHINGTON STATE UNIVERSITY,WASHINGTON,NCES_District-5300317,WSU,Pullman,
"Washakie County School District #2, Wyoming",NDA,WASHAKIE COUNTY SCHOOL DISTRICT #2,WYOMING,NCES_District-5605820,P.O. Box 105,Ten Sleep,http://www.wsh2.k12.wy.us
"Harper Creek Community Schools, Michigan",NDA,HARPER CREEK COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2617730,7454 B DR N,BATTLE CREEK,http://harpercreek.net
"Cleveland County Schools, North Carolina",NDA,CLEVELAND COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3700900,400 West Marion Street,Shelby,http://www.clevelandcountyschools.org/
"Whitnall School District, Wisconsin",NDA,WHITNALL SCHOOL DISTRICT,WISCONSIN,NCES_District-5506000,5000 S 116th St,Greenfield,http://www.whitnall.com
"Hopkinton School District, New Hampshire",NDA,HOPKINTON SCHOOL DISTRICT,NEW HAMPSHIRE,NCES_District-3303900,204 Maple St.,Contoocook,http://www.hopkintonschools.org/en-US
"Sheridan School District, Arkansas",NDA,SHERIDAN SCHOOL DISTRICT,ARKANSAS,NCES_District-0500015,400 N ROCK,SHERIDAN,http://www.sheridanschools.org
"David City Public Schools, Nebraska",NDA,DAVID CITY PUBLIC SCHOOLS,NEBRASKA,NCES_District-3100002,750 D ST,DAVID CITY,
"East Rockaway Union Free School District, New York",NDA,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3609960,443 OCEAN AVE,EAST ROCKAWAY,http://www.eastrockawayschools.org
"Lakeland School District, Pennsylvania",NDA,LAKELAND SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4213050,1355 Lakeland Drive,Scott Township,http://www.lakelandsd.org/
"Pleasantville Union Free School District, New York",NDA,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3623310,60 ROMER AVE,PLEASANTVILLE,http://www.pleasantvilleschools.com
"Blissfield Community Schools, Michigan",NDA,BLISSFIELD COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2606000,630 SOUTH LANE ST,BLISSFIELD,http://www.blissfieldschools.us
"Lockport City School District, New York",NDA,LOCKPORT CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3617670,130 BEATTIE AVE,LOCKPORT,http://www.lockportschools.org
"Waterloo Central School District, New York",NDA,WATERLOO CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3600014,109 WASHINGTON ST,WATERLOO,http://www.waterloocsd.org
"Shamong Township School District, New Jersey",NDA,SHAMONG TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3414880,295 Indian Mills Road,Shamong,http://www.shamongschools.org
"Frontier Central School District, New York",NDA,FRONTIER CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611670,S 5120 ORCHARD AVE,HAMBURG,http://www.frontier.wnyric.org
"University of Virginia, Virginia",NDA,UNIVERSITY OF VIRGINIA,VIRGINIA,NCES_District-5100041,UVA Health System,Charlottesville,
"Berlin Township School District, New Jersey",NDA,BERLIN TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3401620,225 Grove Avenue,West Berlin,http://www.btwpschools.org
"New Lebanon Local School District, Ohio",NDA,NEW LEBANON LOCAL SCHOOL DISTRICT,OHIO,NCES_District-3904871,320 S Fuls Rd,New Lebanon,http://www.newlebanonschools.org/
"Brodhead School District, Wisconsin",NDA,BRODHEAD SCHOOL DISTRICT,WISCONSIN,NCES_District-5501740,2501 W 5th Ave,Brodhead,http://www.brodhead.k12.wi.us
"Walton Central School District, New York",NDA,WALTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3629820,47-49 STOCKTON AVE,WALTON,http://www.waltoncsd.org
"Burlington Township School District, New Jersey",NDA,BURLINGTON TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3402460,P.O. Box 428,Burlington,http://www.burltwpsch.org
"Guilford County Schools, North Carolina",NDA,GUILFORD COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3701920,PO Box 880,Greensboro,http://www.gcsnc.com
"Washakie County School District #1, Wyoming",NDA,WASHAKIE COUNTY SCHOOL DISTRICT #1,WYOMING,NCES_District-5606240,1900 Howell Avenue,Worland,http://www.wsh1.k12.wy.us/
"Wilson County Schools, North Carolina",NDA,WILSON COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3705020,PO Box 2048,Wilson,http://www.wilsonschoolsnc.net
"Vance County Schools, North Carolina",NDA,VANCE COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3704650,PO Box 7001,Henderson,http://www.vcs.k12.nc.us
"New Hartford Central School District, New York",NDA,NEW HARTFORD CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3620370,33 OXFORD RD,NEW HARTFORD,http://www.nhart.org
"Levittown Union Free School District, New York",NDA,LEVITTOWN UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3617160,150 ABBEY LN,LEVITTOWN,http://www.levittownschools.com
"Eureka School District 44-1, South Dakota",NDA,EUREKA SCHOOL DISTRICT 44-1,SOUTH DAKOTA,NCES_District-4622560,PO Box 10,Eureka,http://www.eureka.k12.sd.us
"Ashwaubenon School District, Wisconsin",NDA,ASHWAUBENON SCHOOL DISTRICT,WISCONSIN,NCES_District-5500540,1055 Griffiths Ln,Green Bay,http://www.ashwaubenon.k12.wi.us
"St. Charles Community Schools, Michigan",NDA,ST. CHARLES COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2632640,891 WEST WALNUT ST,SAINT CHARLES,http://www.stccs.org
"Van Dyke Public Schools, Michigan",NDA,VAN DYKE PUBLIC SCHOOLS,MICHIGAN,NCES_District-2634680,23500 MAC ARTHUR BLVD,WARREN,http://www.vdps.net
"Franklin Pierce School District, Washington",NDA,FRANKLIN PIERCE SCHOOL DISTRICT,WASHINGTON,NCES_District-5302940,315 129TH ST S,TACOMA,
"Loudoun County Public Schools, Virginia",NDA,LOUDOUN COUNTY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102250,21000 Education Court,Ashburn,http://www.lcps.org
"Mead School District, Washington",NDA,MEAD SCHOOL DISTRICT,WASHINGTON,NCES_District-5304920,2323 E Farwell Rd,MEAD,http://www.mead354.org
"Muncie Community Schools, Indiana",NDA,MUNCIE COMMUNITY SCHOOLS,INDIANA,NCES_District-1807320,4301 S. Cowan Road,Muncie,http://www.muncie.k12.in.us/
"Gates Chili Central School District, New York",NDA,GATES CHILI CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611880,3 SPARTAN WAY,ROCHESTER,http://www.gateschili.org
"Durham Public Schools, North Carolina",NDA,DURHAM PUBLIC SCHOOLS,NORTH CAROLINA,NCES_District-3701260,PO Box 30002,Durham,http://www.dpsnc.net
"Bordentown Regional School District, New Jersey",NDA,BORDENTOWN REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3402030,318 Ward Avenue,Bordentown,http://www.bordentown.k12.nj.us
"Crete Public Schools, Nebraska",NDA,CRETE PUBLIC SCHOOLS,NEBRASKA,NCES_District-3100095,930 MAIN AVE,CRETE,
"Anacortes School District, Washington",NDA,ANACORTES SCHOOL DISTRICT,WASHINGTON,NCES_District-5300150,2200 M AVE,ANACORTES,
"Lapeer Community Schools, Michigan",NDA,LAPEER COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2621180,250 2ND ST,LAPEER,
"Cincinnatus Central School District, New York",NDA,CINCINNATUS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607560,2809 CINCINNATUS RD,CINCINNATUS,http://www.cc.cnyric.org
"Greensburg Community Schools, Indiana",NDA,GREENSBURG COMMUNITY SCHOOLS,INDIANA,NCES_District-1804080,1312 W Westridge Pky,Greensburg,http://www.greensburg.k12.in.us
"Warden School District, Washington",NDA,WARDEN SCHOOL DISTRICT,WASHINGTON,NCES_District-5309510,101 W BECK WAY,WARDEN,http://www.warden.wednet.edu
"Marshall County Schools, West Virginia",NDA,MARSHALL COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400750,PO BOX 578,MOUNDSVILLE,
"North Brunswick Township School District, New Jersey",NDA,NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3411490,PO Box 6016,North Brunswick,http://www.nbtschools.org
"Akron Central School District, New York",NDA,AKRON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602430,47 BLOOMINGDALE AVE,AKRON,http://www.akronschools.org
