Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Lawrence Union Free School District, New York",NDA,LAWRENCE UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3616830,PO BOX 477,LAWRENCE,http://www.lawrence.org
"Long Beach City School District, New York",NDA,LONG BEACH CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3617730,235 LIDO BLVD,LONG BEACH,http://www.lbeach.org
"Educational Service District 112, Washington",NDA,EDUCATIONAL SERVICE DISTRICT 112,WASHINGTON,NCES_District-5300005,2500 NE 65TH AVE,VANCOUVER,http://www.esd112.org
"Copperas Cove ISD, Texas",NDA,COPPERAS COVE ISD,TEXAS,NCES_District-4815240,408 S MAIN ST,COPPERAS COVE,http://www.ccisd.com
"Airport Community Schools, Michigan",NDA,AIRPORT COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2601980,11270 GRAFTON RD,CARLETON,http://www.airportschools.com
"Flushing Community Schools, Michigan",NDA,FLUSHING COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2614550,522 NORTH MCKINLEY RD,FLUSHING,http://www.flushingschools.org
"Educational Service District 105, Washington",NDA,EDUCATIONAL SERVICE DISTRICT 105,WASHINGTON,NCES_District-5300013,33 S 2ND AVE,YAKIMA,http://www.esd105.org/
"Clear Creek ISD, Texas",NDA,CLEAR CREEK ISD,TEXAS,NCES_District-4814280,P O BOX 799,LEAGUE CITY,http://www.ccisd.net
"Lamar County School District, Mississippi",NDA,LAMAR COUNTY SCHOOL DISTRICT,MISSISSIPPI,NCES_District-2802400,P.O. BOX 609,Purvis,http://ww.lamarcountyschools.org
"Edmonds School District, Washington",NDA,EDMONDS SCHOOL DISTRICT,WASHINGTON,NCES_District-5302400,20420 68TH AVE W,LYNNWOOD,
"Moravia Central School District, New York",NDA,MORAVIA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3619800,PO BOX 1189,MORAVIA,http://www.moraviaschool.org
"Baldwinsville Central School District, New York",NDA,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3603870,29 E ONEIDA ST,BALDWINSVILLE,http://www.bville.org
"Ohio County Schools, West Virginia",NDA,OHIO COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5401050,2203 NATIONAL ROAD,WHEELING,
"North Little Rock School District, Arkansas",NDA,NORTH LITTLE ROCK SCHOOL DISTRICT,ARKANSAS,NCES_District-0510680,2700 POPLAR ST,NORTH LITTLE ROCK,http://www.nlrsd.org
"Marion County Schools, West Virginia",NDA,MARION COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400720,1516 MARY LOU RETTON DRIVE,FAIRMONT,
"Fort Wayne Community Schools, Indiana",NDA,FORT WAYNE COMMUNITY SCHOOLS,INDIANA,NCES_District-1803630,1200 S Clinton St,Fort Wayne,http://www.fortwayneschools.org/
"Snoqualmie Valley School District, Washington",NDA,SNOQUALMIE VALLEY SCHOOL DISTRICT,WASHINGTON,NCES_District-5308040,PO BOX 400,SNOQUALMIE,
"Timberlane Regional School District, New Hampshire",NDA,TIMBERLANE REGIONAL SCHOOL DISTRICT,NEW HAMPSHIRE,NCES_District-3306720,30 Greenough Rd.,Plaistow,http://www.timberlane.net/
"Santa Cruz County Office of Education, California",NDA,SANTA CRUZ COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691036,400 Encinal St.,Santa Cruz,http://www.santacruzcoe.org
"Averill Park Central School District, New York",NDA,AVERILL PARK CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3600016,146 GETTLE RD-ST 1,AVERILL PARK,http://www.averillpark.k12.ny.us
